2025-04-08T16:49:05.625Z | block 28670796 | Opp #58 | UNI=1499.3055 | SUSHI=1499.3261 | AAVE=1500.2715 | BA=-0.0644% | DS=0.0014% | TOTALbps=-6.31 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=5
2025-04-08T16:49:09.743Z | block 28670798 | Opp #59 | UNI=1500.3362 | SUSHI=1499.9773 | AAVE=1500.2715 | BA=-0.0196% | DS=0.0239% | TOTALbps=0.43 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=5
2025-04-08T16:49:13.683Z | block 28670800 | Opp #60 | UNI=1500.3620 | SUSHI=1500.0044 | AAVE=1500.2715 | BA=-0.0178% | DS=0.0238% | TOTALbps=0.60 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=5
2025-04-08T16:49:17.728Z | block 28670802 | Opp #61 | UNI=1500.4205 | SUSHI=1500.4233 | AAVE=1500.2715 | BA=0.0099% | DS=0.0002% | TOTALbps=1.01 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=5
2025-04-08T16:51:24.502Z => Flashloan error: Error: execution reverted: "No arbitrage found on-chain" (action="estimateGas", data="0x08c379a00000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000001b4e6f2061726269747261676520666f756e64206f6e2d636861696e0000000000", reason="No arbitrage found on-chain", transaction={ "data": "0xfb056f680000000000000000000000000000000000000000000000000de0b6b3a7640000", "from": "0xABeA4E27232E0e546a57219aD5B1c52CDE365d2D", "to": "0xf70F03064859d4dc66D4F417b0A18d179614D6C5" }, invocation=null, revert={ "args": [ "No arbitrage found on-chain" ], "name": "Error", "signature": "Error(string)" }, code=CALL_EXCEPTION, version=6.13.5)
2025-04-08T16:51:24.507Z | Opportunity #1 | UNI=1494.2626 | SUSHI=1494.2331 | AAVE=1492.2052 | BA=0.1357% | DS=0.0020% | TOTALbps=13.77 | ROUTE=Buy Sushi / Sell Uni | ACTION=FLASHLOAN_TRIGGERED | FLASHLOANS=1
2025-04-08T17:00:00.672Z | block 28671124 | Opp #1 | UNI=1485.6494 | SUSHI=1485.6446 | AAVE=1486.3476 | BA=-0.0473% | DS=0.0003% | TOTALbps=-4.70 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T17:00:04.667Z | block 28671126 | Opp #2 | UNI=1485.6651 | SUSHI=1485.6446 | AAVE=1486.3476 | BA=-0.0473% | DS=0.0014% | TOTALbps=-4.59 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T17:00:08.732Z | block 28671127 | Opp #3 | UNI=1485.6651 | SUSHI=1485.6446 | AAVE=1486.3476 | BA=-0.0473% | DS=0.0014% | TOTALbps=-4.59 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T17:00:12.842Z | block 28671130 | Opp #4 | UNI=1483.9229 | SUSHI=1484.5959 | AAVE=1486.3476 | BA=-0.1634% | DS=0.0454% | TOTALbps=-11.80 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T17:00:16.906Z | block 28671132 | Opp #5 | UNI=1484.1477 | SUSHI=1484.5959 | AAVE=1486.3476 | BA=-0.1482% | DS=0.0302% | TOTALbps=-11.80 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T17:00:21.648Z | block 28671134 | Opp #6 | UNI=1484.5440 | SUSHI=1484.6473 | AAVE=1486.3476 | BA=-0.1215% | DS=0.0070% | TOTALbps=-11.45 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T17:00:25.046Z | block 28671136 | Opp #7 | UNI=1482.9994 | SUSHI=1483.2608 | AAVE=1486.3476 | BA=-0.2258% | DS=0.0176% | TOTALbps=-20.81 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T17:00:29.190Z | block 28671138 | Opp #8 | UNI=1482.3601 | SUSHI=1483.0723 | AAVE=1486.3476 | BA=-0.2690% | DS=0.0480% | TOTALbps=-22.09 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T17:00:33.224Z | block 28671140 | Opp #9 | UNI=1482.3750 | SUSHI=1482.2586 | AAVE=1486.3476 | BA=-0.2759% | DS=0.0079% | TOTALbps=-26.80 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T17:00:37.305Z | block 28671142 | Opp #10 | UNI=1482.6020 | SUSHI=1482.4898 | AAVE=1486.3476 | BA=-0.2602% | DS=0.0076% | TOTALbps=-25.27 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T17:00:41.384Z | block 28671144 | Opp #11 | UNI=1482.6047 | SUSHI=1482.4943 | AAVE=1486.3476 | BA=-0.2599% | DS=0.0074% | TOTALbps=-25.25 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T17:00:45.548Z | block 28671146 | Opp #12 | UNI=1482.6743 | SUSHI=1482.6661 | AAVE=1482.0568 | BA=0.0411% | DS=0.0006% | TOTALbps=4.16 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T17:00:49.503Z | block 28671147 | Opp #13 | UNI=1482.6600 | SUSHI=1482.6685 | AAVE=1482.0568 | BA=0.0407% | DS=0.0006% | TOTALbps=4.13 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T17:00:53.581Z | block 28671150 | Opp #14 | UNI=1482.6600 | SUSHI=1482.6685 | AAVE=1482.0568 | BA=0.0407% | DS=0.0006% | TOTALbps=4.13 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T17:00:57.675Z | block 28671152 | Opp #15 | UNI=1482.4674 | SUSHI=1482.6970 | AAVE=1482.0568 | BA=0.0277% | DS=0.0155% | TOTALbps=4.32 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
